City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Provideniya,RU,2022-01-30 01:53:35,64.3833,-173.3,4.69,84,20,4.5
106,Thompson,CA,2022-01-30 01:52:07,55.7435,-97.8558,-12.84,77,20,0.0
107,Eskisehir,TR,2022-01-30 01:53:36,39.7767,30.5206,14.45,95,53,2.68
108,Socorro,US,2022-01-30 01:53:36,31.6546,-106.3033,53.19,33,3,4.63
109,Grand Falls,CA,2022-01-30 01:53:36,47.0461,-67.7418,7.45,93,100,16.6
110,Kruisfontein,ZA,2022-01-30 01:50:46,-34.0033,24.7314,57.88,91,2,4.07
111,Marienburg,PL,2022-01-30 01:53:37,54.0359,19.0266,42.96,69,100,31.12
112,Garowe,SO,2022-01-30 01:53:37,8.4054,48.4845,63.03,75,16,9.13
113,Labuhan,ID,2022-01-30 01:53:38,-6.8844,112.2051,83.37,73,98,4.68
114,Shihezi,CN,2022-01-30 01:53:38,44.3,86.0333,1.6,93,100,2.06
115,Kayseri,TR,2022-01-30 01:53:38,38.737,35.4968,8.62,85,75,5.75
116,High Level,CA,2022-01-30 01:53:39,58.5169,-117.136,14.11,92,100,6.91
117,Poum,NC,2022-01-30 01:53:39,-20.2333,164.0167,81.77,77,99,9.62
118,Suez,EG,2022-01-30 01:53:39,29.9737,32.5263,50.7,63,5,3.31
119,Avenal,US,2022-01-30 01:53:40,36.0041,-120.129,58.77,46,100,1.54
120,Barrow,US,2022-01-30 01:50:45,71.2906,-156.7887,-9.38,70,0,10.36
121,Indian Head,US,2022-01-30 01:53:40,38.6001,-77.1622,24.03,44,0,8.99
122,Georgetown,MY,2022-01-30 01:52:13,5.4112,100.3354,84.13,86,20,5.01
123,Veraval,IN,2022-01-30 01:53:41,20.9,70.3667,65.43,34,0,8.23
124,Gerash,IR,2022-01-30 01:53:41,27.6652,54.1371,44.74,48,0,2.89
125,Klaksvik,FO,2022-01-30 01:53:35,62.2266,-6.589,29.32,61,100,10.71
126,San Patricio,US,2022-01-30 01:53:42,28.017,-97.5169,55.81,48,13,9.82
127,Bonthe,SL,2022-01-30 01:53:42,7.5264,-12.505,76.51,83,96,2.15
128,Cabo San Lucas,MX,2022-01-30 01:50:55,22.8909,-109.9124,71.15,61,4,4.5
129,Mae Sai,TH,2022-01-30 01:53:42,20.4335,99.8762,62.44,47,0,0.07
130,Saint-Augustin,CA,2022-01-30 01:53:43,51.226,-58.6502,10.17,94,100,28.32
131,Komsomolskiy,UZ,2022-01-30 01:53:43,40.4272,71.7189,36.32,87,75,4.61
132,Llanes,ES,2022-01-30 01:53:43,43.4198,-4.7549,48.88,66,7,9.66
133,Zhigansk,RU,2022-01-30 01:53:44,66.7697,123.3711,-32.82,100,91,4.23
134,Talnakh,RU,2022-01-30 01:53:44,69.4865,88.3972,-2.79,96,100,8.88
135,Coquimbo,CL,2022-01-30 01:53:41,-29.9533,-71.3436,64.13,82,0,6.91
136,Soyo,AO,2022-01-30 01:53:45,-6.1349,12.3689,78.57,86,100,3.85
137,Longyearbyen,SJ,2022-01-30 01:53:45,78.2186,15.6401,6.64,72,0,16.11
138,Lima,PE,2022-01-30 01:50:13,-12.0432,-77.0282,71.91,70,20,12.66
139,Siderno,IT,2022-01-30 01:54:45,38.2779,16.302,50.85,64,5,8.43
140,Codrington,AU,2022-01-30 01:54:46,-38.2667,141.9667,72.75,72,100,10.2
141,Truro,GB,2022-01-30 01:54:46,50.2653,-5.0544,42.01,88,4,4.79
142,Qaanaaq,GL,2022-01-30 01:54:46,77.484,-69.3632,-1.21,95,100,8.05
143,Talcahuano,CL,2022-01-30 01:54:47,-36.7167,-73.1167,62.28,77,100,6.91
144,Sao Filipe,CV,2022-01-30 01:54:47,14.8961,-24.4956,70.92,72,65,10.58
145,Chapais,CA,2022-01-30 01:54:48,49.7834,-74.8492,-22.22,100,7,2.37
146,Comodoro Rivadavia,AR,2022-01-30 01:54:48,-45.8667,-67.5,69.66,37,0,29.93
147,Necochea,AR,2022-01-30 01:54:48,-38.5473,-58.7368,74.03,63,13,18.45
148,Deputatskiy,RU,2022-01-30 01:54:48,69.3,139.9,-20.07,97,95,2.08
149,Puerto Ayora,EC,2022-01-30 01:54:49,-0.7393,-90.3518,73.67,84,61,5.84
150,Malanje,AO,2022-01-30 01:54:49,-9.5402,16.341,64.04,99,100,5.46
151,La Seyne-Sur-Mer,FR,2022-01-30 01:49:55,43.0982,5.8847,44.92,55,2,5.14
152,Clyde River,CA,2022-01-30 01:54:50,70.4692,-68.5914,-7.37,77,100,5.75
153,Chokwe,MZ,2022-01-30 01:54:50,-24.5333,32.9833,74.16,91,100,2.39
154,Shingu,JP,2022-01-30 01:53:31,33.7333,135.9833,45.59,39,100,1.83
155,Ponta Delgada,PT,2022-01-30 01:54:50,37.7333,-25.6667,56.5,71,40,4.61
156,Bay Roberts,CA,2022-01-30 01:54:51,47.5999,-53.2648,43.03,91,100,10.0
157,Pundaguitan,PH,2022-01-30 01:51:18,6.3711,126.1689,80.76,75,100,2.84
158,Mossendjo,CG,2022-01-30 01:54:51,-2.9506,12.7261,69.46,99,83,1.88
