City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
440,Huilong,31.8111,121.655,46.98,44,100,6.76,CN,2022-01-31 06:46:23,overcast clouds
441,Oppdal,62.5943,9.6912,14.47,87,100,8.39,NO,2022-01-31 06:46:23,overcast clouds
442,Srandakan,-7.9386,110.2506,85.14,71,100,8.48,ID,2022-01-31 06:46:24,overcast clouds
443,Pemba,-12.974,40.5178,81.3,88,20,5.99,MZ,2022-01-31 06:46:24,few clouds
444,Kamaishi,39.2667,141.8833,31.15,54,31,14.16,JP,2022-01-31 06:46:25,scattered clouds
445,Saint-Jerome,45.7804,-74.0036,9.57,81,40,5.75,CA,2022-01-31 06:46:25,scattered clouds
446,Rocha,-34.4833,-54.3333,65.77,92,1,9.24,UY,2022-01-31 06:46:25,clear sky
447,Severnoye,56.3491,78.3619,17.89,92,100,10.58,RU,2022-01-31 06:46:26,overcast clouds
448,Coquimbo,-29.9533,-71.3436,63.73,86,43,2.86,CL,2022-01-31 06:46:26,scattered clouds
449,Plock,52.5468,19.7064,31.96,84,100,12.33,PL,2022-01-31 06:46:26,overcast clouds
450,Okato,-39.2,173.8833,72.68,74,100,5.39,NZ,2022-01-31 06:46:27,overcast clouds
451,Elliot Lake,46.3834,-82.6331,10.49,96,100,3.36,CA,2022-01-31 06:46:27,overcast clouds
452,Port Hawkesbury,45.6169,-61.3485,24.39,76,100,5.99,CA,2022-01-31 06:46:28,overcast clouds
453,Hasaki,35.7333,140.8333,50.29,24,1,5.3,JP,2022-01-31 06:46:28,clear sky
454,Tromso,69.6496,18.957,24.82,80,75,16.11,NO,2022-01-31 06:46:28,broken clouds
455,Kapiri Mposhi,-13.9652,28.6809,62.91,99,100,3.06,ZM,2022-01-31 06:46:29,heavy intensity rain
456,Half Moon Bay,37.4636,-122.4286,52.75,89,100,0.0,US,2022-01-31 06:46:17,overcast clouds
457,New Plymouth,-39.0667,174.0833,73.31,57,100,4.63,NZ,2022-01-31 06:42:34,overcast clouds
458,Kamenka,51.3223,42.7678,32.76,98,100,15.66,RU,2022-01-31 06:47:29,light snow
459,Betare Oya,5.6,14.0833,71.08,18,80,7.47,CM,2022-01-31 06:47:30,broken clouds
460,Dhidhdhoo,6.8833,73.1,81.55,76,25,9.08,MV,2022-01-31 06:47:30,scattered clouds
461,Klaksvik,62.2266,-6.589,32.92,67,95,33.84,FO,2022-01-31 06:47:30,light snow
462,Isangel,-19.55,169.2667,80.71,94,100,3.44,VU,2022-01-31 06:47:31,overcast clouds
463,Hella,67.2,14.4333,26.74,84,75,19.57,NO,2022-01-31 06:47:32,broken clouds
464,Praia Da Vitoria,38.7333,-27.0667,59.25,77,75,23.8,PT,2022-01-31 06:47:32,broken clouds
465,Noumea,-22.2763,166.4572,80.58,79,100,4.72,NC,2022-01-31 06:47:32,overcast clouds
466,Norman Wells,65.282,-126.8329,-14.76,76,75,6.91,CA,2022-01-31 06:47:33,light snow
467,Tiznit,29.5833,-9.5,59.99,40,95,13.04,MA,2022-01-31 06:47:33,overcast clouds
468,Rincon,32.296,-81.2354,47.86,65,0,8.05,US,2022-01-31 06:47:34,clear sky
469,Panyutyne,48.9333,36.2833,31.12,96,100,18.99,UA,2022-01-31 06:47:34,light snow
470,Ede,52.0333,5.6583,43.77,93,75,16.11,NL,2022-01-31 06:47:34,light rain
471,Gualeguay,-33.1416,-59.3097,67.44,56,8,6.82,AR,2022-01-31 06:44:04,clear sky
472,Chenzhou,25.8,113.0333,39.58,96,100,5.14,CN,2022-01-31 06:47:35,overcast clouds
473,Aksarka,66.5606,67.7975,-0.54,96,100,3.78,RU,2022-01-31 06:47:35,overcast clouds
474,Ossora,59.2353,163.0719,21.61,94,100,21.0,RU,2022-01-31 06:47:36,snow
475,Japura,-0.3167,102.35,91.35,51,99,2.26,ID,2022-01-31 06:47:36,moderate rain
476,San Quintin,30.4833,-115.95,57.7,63,4,6.13,MX,2022-01-31 06:47:37,clear sky
477,Qasigiannguit,68.8193,-51.1922,-8.61,65,100,8.41,GL,2022-01-31 06:47:37,overcast clouds
478,Imbituba,-28.24,-48.6703,72.82,86,77,6.13,BR,2022-01-31 06:47:37,broken clouds
479,Shorewood,41.52,-88.2017,28.44,74,100,0.0,US,2022-01-31 06:47:38,overcast clouds
480,Beloha,-25.1667,45.05,87.55,36,80,10.11,MG,2022-01-31 06:47:38,broken clouds
481,Tual,-5.6667,132.75,83.55,79,100,22.82,ID,2022-01-31 06:47:38,moderate rain
482,Juba,4.8517,31.5825,86.04,18,97,6.91,SS,2022-01-31 06:47:39,overcast clouds
483,Chokwe,-24.5333,32.9833,81.59,57,62,5.44,MZ,2022-01-31 06:47:39,broken clouds
484,Emerald,-23.5333,148.1667,97.34,32,54,3.44,AU,2022-01-31 06:47:40,broken clouds
485,Itoman,26.1247,127.6694,64.42,55,40,13.8,JP,2022-01-31 06:46:19,scattered clouds
486,Bulgan,48.8125,103.5347,5.74,73,8,1.59,MN,2022-01-31 06:47:40,clear sky
487,Homer,59.6425,-151.5483,16.77,92,0,3.44,US,2022-01-31 06:47:40,clear sky
488,Abay,49.6311,72.8539,16.18,93,99,9.95,KZ,2022-01-31 06:47:41,overcast clouds
489,Znamenskoye,57.1281,73.8282,12.63,91,100,8.12,RU,2022-01-31 06:47:42,overcast clouds
490,Muros,42.7762,-9.0603,48.83,86,2,11.16,ES,2022-01-31 06:47:42,clear sky
491,Ulkan,57.243,107.3223,7.92,85,100,1.59,RU,2022-01-31 06:47:42,overcast clouds
492,Rawson,-43.3002,-65.1023,57.88,34,100,14.56,AR,2022-01-31 06:47:43,overcast clouds
493,Candido Mendes,-1.4467,-45.7167,71.73,96,100,2.19,BR,2022-01-31 06:47:43,overcast clouds
